frame,time,stage1_vel,stage1_alt,stage2_vel,stage2_alt
0,0:00:00,0.0,16.4592,0.0,16.4592
4,0:00:00.133333,0.0,16.4592,0.0,16.4592
8,0:00:00.266667,0.0,16.4592,0.0,16.4592
12,0:00:00.400000,0.0,16.4592,0.0,16.4592
16,0:00:00.533333,3.12928,16.4592,3.12928,16.4592
20,0:00:00.666667,3.12928,16.4592,3.12928,16.4592
24,0:00:00.800000,3.12928,16.4592,3.12928,16.4592
28,0:00:00.933333,0.44704,16.764,0.44704,16.764
32,0:00:01.066667,0.89408,16.764,0.89408,16.764
36,0:00:01.200000,0.89408,17.0688,0.89408,17.0688
40,0:00:01.333333,1.34112,17.0688,1.34112,17.0688
44,0:00:01.466667,1.34112,17.0688,1.34112,17.0688
48,0:00:01.600000,1.34112,17.0688,1.34112,17.0688
52,0:00:01.733333,1.34112,17.3736,1.34112,17.3736
56,0:00:01.866667,1.34112,17.6784,1.34112,17.6784
60,0:00:02,1.34112,17.6784,1.34112,17.6784
64,0:00:02.133333,1.78816,17.9832,1.78816,17.9832
68,0:00:02.266667,1.78816,20.4216,1.78816,20.4216
72,0:00:02.400000,1.78816,20.4216,1.78816,20.4216
76,0:00:02.533333,2.2352,18.8976,2.2352,18.8976
80,0:00:02.666667,2.2352,19.5072,2.2352,19.5072
84,0:00:02.800000,2.2352,19.5072,2.2352,19.5072
88,0:00:02.933333,2.68224,19.5072,2.68224,19.5072
92,0:00:03.066667,2.68224,19.5072,2.68224,19.5072
96,0:00:03.200000,2.68224,20.1168,2.68224,20.1168
100,0:00:03.333333,3.12928,20.7264,,
104,0:00:03.466667,3.12928,20.7264,,
108,0:00:03.600000,3.12928,21.336000000000002,,
112,0:00:03.733333,3.57632,21.945600000000002,,
116,0:00:03.866667,3.57632,21.945600000000002,,
120,0:00:04,3.57632,22.86,,
124,0:00:04.133333,3.57632,23.7744,,
128,0:00:04.266667,3.57632,23.7744,,
132,0:00:04.400000,3.57632,26.5176,,
136,0:00:04.533333,4.4704,25.6032,,
140,0:00:04.666667,4.4704,26.5176,,
144,0:00:04.800000,4.4704,26.5176,,
148,0:00:04.933333,31.73984,24.384,,
152,0:00:05.066667,31.73984,24.384,,
156,0:00:05.200000,31.73984,24.384,,
160,0:00:05.333333,32.18688,25.6032,,
164,0:00:05.466667,32.18688,25.6032,,
168,0:00:05.600000,5.81152,26.822400000000002,,
172,0:00:05.733333,5.81152,31.0896,,
176,0:00:05.866667,33.08096,32.308800000000005,,
180,0:00:06,6.25856,32.308800000000005,6.25856,32.308800000000005
184,0:00:06.133333,6.25856,51.816,6.25856,51.816
188,0:00:06.266667,6.7056,59.436,6.7056,59.436
192,0:00:06.400000,6.7056,59.436,,
196,0:00:06.533333,6.7056,36.576,,
200,0:00:06.666667,6.7056,36.576,,
204,0:00:06.800000,7.15264,38.1,,
208,0:00:06.933333,7.15264,222.50400000000002,,
212,0:00:07.066667,7.59968,41.4528,,
216,0:00:07.200000,7.59968,41.4528,,
220,0:00:07.333333,34.86912,41.4528,,
224,0:00:07.466667,34.86912,41.4528,,0.0
228,0:00:07.600000,34.86912,44.805600000000005,,0.0
232,0:00:07.733333,34.86912,44.805600000000005,,0.0
236,0:00:07.866667,35.316159999999996,46.6344,,0.0
240,0:00:08,35.316159999999996,46.6344,35.316159999999996,46.6344
244,0:00:08.133333,8.9408,46.6344,,0.0
248,0:00:08.266667,8.9408,46.6344,8.9408,46.6344
252,0:00:08.400000,12.070079999999999,50.5968,,0.0
256,0:00:08.533333,12.070079999999999,52.7304,,0.0
260,0:00:08.666667,12.070079999999999,52.7304,,0.0
264,0:00:08.800000,,,,
268,0:00:08.933333,,,,
272,0:00:09.066667,,,,
276,0:00:09.200000,,,,
280,0:00:09.333333,,,,
284,0:00:09.466667,,2.1336,,
288,0:00:09.600000,,,,
292,0:00:09.733333,,,,
296,0:00:09.866667,,,,
300,0:00:10,,,,
304,0:00:10.133333,,,,
